objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
janedoe20,mg101_b6_psychiana_photographs_001.jpg,,Private Voice Lesson Course Materials,application/pdf,Digital document with syllabi and policies surrounding undergraduate and graduate voice lessons in the Prof's studio,Jane Doe,Redacted University Music Library,2018,yes,single-page; photographs,"Moscow, Idaho; Drug Store Clerk","Moscow, ID",46.732505,-117.001181,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe21,mg101_b6_psychiana_photographs_039.jpg,,Community Music School Bylaws,application/pdf,"Paper copy of official bylaws and policies of the University's Community Music School, established by Jane Doe, an initative focused on giving private lessons and recital opportunities to community members",Jane Doe,Redacted University Music Library,2018,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_039,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe22,mg101_b6_robinson_friends_008.jpg,,Community Music School Private Lessons Materials,application/pdf,"Paper copy of private voice lesson studio policy for the Prof in the Community Music School, outlining protocol and payment procedures",Jane Doe,Redacted University Music Library,2018,yes,single-page; photographs,The News Review; Frank B. Robinson,,,,The News-Review,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Robinson & Friends'",mg101_b6_robinson_friends_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe23,mg101_b6_photographs_06.jpg,,Summer Young Artist Program Contract,application/pdf,Digital sample contract of the Summer Young Artist Program/Internship administered by the Prof on University Campus,Jane Doe,Redacted University Music Library,2019,yes,single-page; photographs,Duesenberg Convertible Coupe,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe24,mg101_b6_photographs_07.jpg,,Summer Young Artist Program Planning Document,application/pdf,"Digital document of preparatory materials for Summer Young Artist Program on University campus. Outlines plans on productions, courses, student lodging and activities, etc.",Jane Doe,Redacted University Music Library,2019,yes,single-page; photographs,Duesenberg Convertible Coupe; Public Square,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe25,mg101_b6_photographs_02.jpg,,Performance Anxiety Masterclass Materials,application/pdf,Digital document of masterclass preparation materials centered around Performance Anxiety,Jane Doe,Redacted University Music Library,2021,yes,single-page; photographs,Duesenberg Convertible Coupe; Home,"Moscow, ID",46.733027,-116.992443,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe26,mg101_b6_psychiana_photographs_037b.jpg,,Headshot,image/jpeg,Digital copy of professional headshot for academic and performance purposes,Jane Doe,Redacted University Music Library,2019,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_037b,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe27,mg101_b6_photographs_01.jpg,,Pants Role Masterclass Materials,image/jpeg,Digital document of masterclass preparation materials centered around Pants Roles,Jane Doe,Redacted University Music Library,2021,yes,single-page; photographs,Pipe Organ,"Moscow, ID",46.732534,-117.003116,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe28,mg101_b6_psychiana_photographs_018a.jpg,,Performance Anxiety Masterclass Recording,video/mpeg,"Digital recording of Masterclass given by Prof in Italy, 2021",Jane Doe,Redacted University Music Library,2021,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_018a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe29,mg101_b6_psychiana_photographs_038.jpg,,Pants Role Masterclass Recording,video/mpeg,"Digital recording of Masterclass given by Prof in Italy, 2021",Jane Doe,Redacted University Music Library,2021,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,"Moscow, ID",46.732534,-117.003116,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_038,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
janedoe30,,,Role Preparation Workshop Materials,application/pdf,"Digital planning document for a Music Department Voice Area workshop on Opear Role Preparation. This was prepared, but never presented.",Jane Doe,Redacted University Music Library,2023,,,,,,,,,,,,,,,,,
